company,model_name,colour,operating_system,Processor,processor_company,ram/storage,delivery,price_in_Euro
HP,"Pavilion 14-dv1629sa 14"" Laptop ",silver,Windows 11,Intel Core i5-1155G7 Processor,Intel,8/256,yes,649
DELL,"Inspiron 15 3000 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8/256,yes,529
ACER,"314 14"" Chromebook ",silver,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/64,yes,379
LENOVO,"IdeaPad 3 14"" Chromebook ",blue,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/64,yes,299
ACER,"Aspire 5 A514-54 14"" Laptop ",black & silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,659
HP,"15s-fq4553sa 15.6"" Laptop ",silver,Windows 11,Intel Core i5-1155G7 Processor,Intel,4/256,yes,499
APPLE,"MacBook Air 13.3"" (2020) ",silver,macOS 11.0 Big Sur,Apple M1 chip,Apple,8/256,yes,1109
APPLE,"MacBook Air 13.3"" (2020) ",space grey,macOS 11.0 Big Sur,Apple M1 chip,Apple,8/256,yes,1109
HP,"Stream 11-ak0512sa 11.6"" Laptop ",white,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,219
ASUS,"C202 11.6"" Chromebook ",grey & black,Chrome OS,MediaTek MT8173C Processor,MediaTek,4/256,yes,159
HP,"Stream 11-ak0513sa 11.6"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,219
HP,"15-dw1513sa 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i3-10110U Processor,Intel,4/128,yes,429
LENOVO,"IdeaPad 3i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,659
LENOVO,"IdeaPad 3 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Athlon Gold 3150U Processor,AMD,4/128,yes,319
ACER,"Swift 1 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Silver N6000 processor,Intel,8/256,yes,599
HP,"Pavilion 15-eh0523sa 15.6"" Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 5 4500U Processor,AMD,8/256,yes,719
ACER,"715 15.6"" Chromebook ",grey,Chrome OS,Intel Pentium Gold 4417U Processor,Intel,4/128,yes,399
DELL,"Inspiron 15 3511 15.6"" Laptop ",silver,Windows 11,Intel Core i5-1035G1 Processor,Intel,8/256,yes,609
